id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,2.3727632453e-11,2.11472227008e-10,6.39661686681e-14,3.40470260944e-08,3.96901267119e-10,5.37722163587e-10,3.78118214318e-14,1.17103207592e-12,1.68672835127e-12,1.40466004543e-08,2.33782349754e-08,2.66915858532e-14,1.04424709637e-13,1.25543471104e-10,1.56914121486e-09,1.24884186742e-10,1.61730536573e-06,4.38411794284e-15,4.57858575821e-10,3.51211704151e-12,3.04376826337e-08,3.50962695314e-10,4.56727812994e-08,2.78010897366e-13,2.011256764e-13,2.25959569542e-12,8.41087218901e-06,2.65446627747e-08,3.21044666996e-11,6.36376861888e-12,3.09461423472e-19,2.76230634354e-06,5.09221023891e-07,4.75436139315e-07,3.38219909965e-12,1.9021376618e-08,8.4433105213e-11,1.4315184034e-19,8.16373974873e-10,1.43210781053e-12,1.09142046397e-17,1.54132234358e-08,2.74196960705e-10,1.86810447147e-13,2.27417702425e-08,4.33890936982e-12,1.40481852793e-05,2.87878283436e-17,6.84379784478e-15,9.9709084547e-10,3.48197621237e-09,0.99990328377,3.53757996111e-13,8.59456551561e-08,8.10549886275e-09,1.55937921153e-06,1.85077904634e-06,7.87576656217e-16,2.90099387673e-15,6.30702747857e-11,2.25100099512e-10,1.01311960181e-10,2.16120446422e-10,1.39743290556e-10,1.10258699896e-05,9.95350039159e-10,5.31239266521e-09,7.02037454836e-18,5.04299490786e-13,2.70007483266e-10,3.59536354054e-14,4.36838216499e-14,1.03024632257e-07,2.24698962824e-15,6.47959100445e-06,1.8538945996e-06,2.06655985667e-16,2.20551600998e-09,1.27391320494e-05,5.6003735892e-11,1.24651618138e-08,1.43367859573e-16,2.28831528782e-17,2.42747475416e-05,4.85920787468e-06,1.11647128427e-15,1.52903990407e-16,5.12962445514e-17,3.56030475031e-06,1.10693611953e-15,2.58478154018e-10,4.75944718234e-11,1.8857548031e-12,2.48315947212e-10,2.83127332614e-14,2.83008582996e-14,2.06932626934e-15,2.29499143091e-07,2.52412105139e-12
7,1.75895694448e-10,6.91637050817e-10,2.26731444533e-08,2.83795350742e-07,1.06040971718e-10,1.62833652147e-09,2.51563764104e-06,1.09731062514e-10,3.74503690442e-10,6.70842042316e-10,5.81214779825e-13,6.93796424369e-12,7.05201036138e-12,4.52430601467e-11,1.06623422923e-10,2.56274789275e-10,2.17095771274e-11,4.93492198329e-08,3.79469831582e-11,4.42637474414e-07,1.06219486191e-09,6.57293632438e-12,3.03675939645e-10,1.02246105382e-11,1.21312356033e-10,5.45141287466e-11,1.61633591257e-08,3.29537699343e-08,1.51719608964e-10,2.43126287995e-13,1.1405008424e-09,1.46464369765e-09,1.68776446702e-09,3.56686584738e-11,1.30525147093e-08,2.50817337951e-12,2.03917984156e-06,3.02407873742e-10,1.23228363727e-08,2.02963608309e-07,1.52153531594e-08,1.60747008464e-08,2.90440702658e-08,1.04993292819e-08,1.29194799243e-10,1.54025506703e-07,1.41674598918e-13,3.17277427845e-06,3.44549914316e-10,3.40194244432e-12,0.999981028578,1.21040638085e-10,2.34832941535e-10,1.03668953432e-09,5.93221879921e-09,1.79380505585e-08,7.41523532551e-12,8.6019867329e-09,1.53573395433e-07,7.35055841176e-08,2.42997097405e-08,3.44363304559e-09,5.86441414551e-11,9.90746630396e-08,1.61122432953e-13,1.3978945025e-10,1.44249061601e-11,6.78335891232e-10,5.57725211652e-09,7.30292017402e-06,1.17758067209e-13,2.5415909855e-12,5.948164749e-11,4.31700464547e-10,5.99232844314e-15,7.80239029728e-12,8.38131271407e-07,8.18991341932e-10,1.40541210084e-09,4.3943713458e-09,2.09964323071e-10,2.09903388668e-09,1.5867663659e-07,9.62702382399e-08,1.77158637761e-07,2.64378101595e-08,6.72166001265e-09,1.27893309643e-07,7.20427971995e-14,4.7004242719e-09,5.02960451771e-09,7.64373002824e-12,9.34145436833e-13,1.85705550911e-15,3.83327066556e-07,1.04999712293e-09,3.96735180369e-07,1.33103662252e-11,3.25782201704e-09
9,8.43420876999e-08,0.998130922628,6.96007728995e-08,2.81542587501e-08,0.00149779310041,2.9590563539e-06,3.23930526235e-08,1.02342796896e-05,3.02310410979e-05,1.72939149264e-05,1.24933308911e-08,3.60261946968e-05,1.44897043593e-08,8.23671880045e-08,1.25834911623e-06,2.3631349052e-06,0.000164061677419,5.07846510037e-11,4.17275796241e-09,2.88402680106e-06,1.99879664234e-08,8.67874288394e-08,3.30912543279e-11,6.69323619239e-11,1.36953973785e-11,6.38960359973e-06,8.42634901781e-06,4.45760763357e-11,8.09157877209e-10,5.98113825901e-10,4.70870659154e-11,1.5251302427e-08,6.27409900938e-06,2.32179133002e-06,2.59162196305e-11,3.22335728256e-06,5.51172022945e-10,4.93518786055e-11,2.08805767592e-10,8.15325045957e-07,6.62609597266e-11,1.10122942537e-08,2.70314776438e-09,6.98211115565e-11,9.44426848644e-08,1.20337146687e-10,2.56391880806e-10,3.19629763943e-09,6.22006387011e-07,2.60874656515e-07,1.25499359183e-08,5.35095253266e-11,2.02783774416e-09,1.07049827963e-07,5.49950982355e-08,3.66514145653e-09,2.5014110997e-06,2.04735928678e-10,3.83046233346e-12,1.86264554958e-09,3.13134046098e-07,5.98103602459e-11,5.45011195573e-08,9.48500522338e-08,9.8516526327e-09,1.24693130381e-08,2.56858606014e-08,1.3050230682e-11,1.05230854942e-11,1.16330475489e-07,4.69701266805e-10,6.3779774451e-09,1.5133281741e-08,2.88608784179e-06,1.26226480204e-07,3.17376356317e-08,9.85228260827e-12,3.24161022001e-08,2.86538937386e-07,1.78707024075e-08,1.95436489266e-08,2.00620477009e-13,1.94160563847e-12,2.21383828845e-08,2.32223314917e-07,6.22526019813e-06,5.54730713983e-10,4.72795393521e-09,3.09905472131e-09,1.41104337022e-07,2.48637910049e-09,2.5830579437e-08,7.80448953123e-09,1.16875037948e-09,2.44152079799e-09,1.30518580305e-07,5.56645228302e-11,3.27852964577e-09,6.15389478217e-05
12,2.03586821324e-09,0.00103494845559,7.28459083552e-08,7.5298490881e-09,5.74393860531e-08,1.80548215998e-09,6.77727588423e-06,9.3354194438e-08,5.01438895494e-06,9.58849699549e-06,7.06009702524e-11,3.78465244247e-06,8.39395523726e-06,0.000255691522115,1.08249702589e-06,4.01346581326e-07,1.74393690743e-09,4.88338798736e-06,3.81435263251e-10,0.99700796204,1.27704441237e-07,1.92293056702e-11,1.59980561199e-08,1.00766172399e-11,3.79438403318e-10,6.48575684136e-10,5.2765988184e-06,5.42386070695e-09,2.16326386156e-12,9.89917176776e-13,3.85657122734e-11,2.52354575806e-10,1.31891301668e-07,7.19097170797e-09,1.20307526672e-10,7.80422803121e-10,1.23433691028e-06,3.14689798093e-08,3.91557265787e-09,3.18058620579e-09,1.03794839977e-09,2.31238030184e-05,1.04949107566e-09,1.59221862625e-09,3.53170044493e-09,4.40720369816e-09,5.36653739093e-12,0.000503625065928,1.6637376111e-06,1.28486974083e-10,4.60471857223e-07,2.4190388004e-12,1.04898469257e-08,2.66177805967e-09,1.77299021055e-08,1.81622432268e-09,5.40428352635e-12,1.85257006209e-08,5.77532258364e-07,6.11956533088e-08,1.28349056938e-07,6.17217829813e-11,8.01146616499e-08,1.85277544675e-06,3.42398088059e-12,2.02036743831e-08,6.95000932144e-10,9.45780053629e-09,5.0207990328e-10,8.10344657873e-11,1.26975785579e-11,2.96714604187e-10,4.32356914173e-11,8.02502849004e-08,2.45983884207e-11,9.88556199719e-10,9.86601869622e-10,1.03649616197e-07,6.17936076078e-08,1.10768990593e-07,6.40583067862e-07,2.01742604717e-10,4.83524902762e-07,7.16403534012e-09,2.73176498893e-08,2.66613058825e-05,2.99817335763e-08,1.80363227891e-08,4.27969333505e-12,2.96413538384e-07,3.8686176852e-09,3.6182666755e-08,7.84012366468e-10,8.77496726524e-11,3.59304155736e-07,0.00102905713529,1.05714428751e-08,6.31056921445e-10,6.47358656923e-05
13,2.44056880309e-08,4.47842453941e-08,1.11504350073e-10,1.1666959636e-11,1.14026598058e-08,9.60137037695e-11,3.88482178862e-08,5.80942002373e-09,4.43836230912e-06,1.17710610782e-07,1.53916767716e-09,4.3486158166e-05,4.65642874807e-08,6.6426283554e-07,0.999931344854,1.12988618189e-08,7.68786897779e-06,1.71926056397e-10,3.89447908234e-09,6.93250393117e-10,1.76682423671e-07,3.61361050078e-12,2.19981630518e-08,1.24830575638e-12,1.5312477612e-10,1.94798295323e-10,4.74496432989e-07,1.67925514583e-11,3.57774812942e-12,3.55378091902e-13,8.63245403651e-13,3.4271370286e-12,2.28433238555e-10,4.69562404842e-09,1.58551865306e-13,3.42334599374e-08,1.8950576262e-10,1.87860538344e-13,6.39574087368e-10,2.82059514431e-13,5.57916579208e-13,5.4839175449e-10,2.37824876856e-11,4.45795089236e-10,2.32950025506e-11,2.97552159254e-14,8.40483754075e-12,1.99456347929e-09,2.41656512355e-06,1.81860028551e-06,7.05564110317e-12,1.47733792062e-12,2.29568179517e-09,8.34589793035e-09,4.32885334243e-09,7.47124857581e-12,1.89427037806e-11,7.99636184692e-12,1.65888987683e-12,7.10132159074e-10,9.77161242098e-10,2.4531568675e-11,3.02972221871e-10,1.83819300121e-08,1.76582005792e-11,9.25682458415e-12,1.68914532344e-10,5.4721192209e-13,1.74136530389e-12,2.31769677791e-11,3.20876882235e-10,7.16924715591e-09,1.01153534452e-11,1.01529791334e-10,1.22081518737e-08,2.86505712114e-10,1.63701553009e-12,1.65929891104e-08,2.00909826969e-08,3.53924882845e-08,6.80663513175e-09,1.20929093699e-14,1.43935441327e-11,9.16399743753e-09,3.86890410312e-10,8.39294107762e-11,9.71360367347e-11,9.08905291e-13,6.93728486575e-11,2.95447905863e-08,6.29983066206e-11,3.45570522948e-07,2.26315982559e-10,3.07912822728e-07,7.89003184854e-08,6.20150728653e-06,9.94652002758e-10,4.6513215319e-09,5.59755325069e-09
16,2.25166961064e-05,1.40601088228e-06,1.40317099956e-05,0.978068759772,4.76107039918e-07,3.93021506879e-07,3.36824562627e-05,1.65763186237e-05,1.50993855449e-06,1.07963077642e-07,3.14538223674e-06,2.36612529354e-07,2.47422868623e-05,1.22292580464e-06,5.30871332906e-06,2.60202576607e-06,4.63864507102e-07,2.82414535983e-05,9.59136063491e-06,0.000242378601728,1.5688052783e-05,4.99532011191e-07,1.25277405427e-06,2.11088927322e-08,1.77372570729e-05,7.41184345837e-06,0.000234046268981,7.8362375376e-06,9.26422255082e-07,3.50016718462e-10,1.21752602236e-05,5.34084381069e-06,4.24208450044e-05,8.53237414332e-07,7.48221719364e-06,5.30333559669e-07,8.8379443418e-05,6.54605740264e-07,1.46715244362e-06,4.93876688993e-06,1.18181901542e-05,0.000104347316778,6.94379811784e-05,0.00342385762148,7.08096708323e-06,8.56994016504e-05,4.16674996271e-08,2.91356057645e-06,1.56490745982e-07,4.03313581256e-06,6.34060935615e-05,2.02229423091e-07,0.00153414369316,9.27467068425e-07,2.50156369431e-07,2.53207372889e-06,1.41981171689e-08,2.69724051079e-05,0.000500431481132,1.58092521284e-05,5.97017275072e-05,2.02293020021e-07,7.58735101097e-05,1.05371492938e-05,1.81026962478e-09,1.29723263474e-05,2.10483798576e-07,3.75537135376e-05,6.83690069912e-05,4.17653305076e-05,5.00898638808e-08,2.11939606263e-06,2.51423542393e-07,2.36535969072e-05,4.76612219649e-10,1.37526637849e-06,1.39743093445e-05,9.98320529537e-06,3.10812844217e-08,9.219404866e-05,5.21160422929e-09,9.80858808886e-05,2.76333903535e-06,0.000280837037932,2.26858392353e-06,0.00029168439196,0.0134835754931,3.51030242102e-06,9.61840474531e-09,0.00011222926143,8.77258327463e-05,6.99304751865e-06,8.1388206316e-07,1.78976155265e-07,0.000268439624342,9.34721900901e-06,4.40509550305e-05,2.14236866192e-05,5.41062536277e-05
19,5.7625660517e-06,7.0675450312e-07,4.31059272188e-06,0.999216120754,3.30109038462e-08,6.47759042261e-08,2.92822568537e-06,1.17000666757e-07,6.71656859743e-08,1.94108885827e-08,1.08438778268e-06,6.71666112265e-09,1.62525916255e-05,3.19388792312e-08,1.16168129885e-07,2.34784286772e-07,1.54610596064e-07,1.46726101769e-07,3.96685604597e-07,1.23477343516e-05,5.09824820291e-06,6.73608932929e-08,1.91698571293e-08,1.05074499907e-08,6.51864506143e-07,1.93609321454e-06,1.17924551181e-06,7.59310844126e-08,3.35727930044e-07,4.54798687297e-10,1.57978726209e-06,4.62738759288e-06,1.13718316306e-05,2.73650640754e-08,1.817728984e-07,2.93917799804e-08,5.49633679184e-06,1.44983316145e-07,9.943387434e-07,5.90947585368e-06,1.86521203468e-08,7.37806195374e-06,1.29877349317e-06,3.01923388931e-05,7.84816300596e-07,6.78232143834e-06,1.25244244689e-08,1.73763630044e-07,2.05375583374e-08,6.55822233079e-08,0.000145924723789,1.44219045261e-07,2.97123763481e-06,3.5572467244e-07,2.63005445185e-08,3.89363478423e-07,2.35207550986e-08,2.59606042852e-07,1.45807431274e-05,1.305850918e-06,7.59804892921e-05,2.27835043419e-08,7.38891786548e-07,5.45403283423e-07,6.20891210964e-09,2.41402485571e-05,1.02337086895e-08,3.10563240594e-07,2.43520692305e-05,9.52321515148e-06,2.34283640944e-09,3.49087250973e-08,1.17215694742e-08,1.07796804011e-07,4.93405128731e-11,4.47464175165e-08,5.51902020396e-06,8.23553392681e-07,1.13782325239e-09,6.89125135553e-06,1.27418739169e-09,8.67885558382e-06,1.74710080847e-07,2.80354928154e-07,3.0551248238e-06,2.74912673111e-05,1.2567292664e-05,6.18803161699e-06,6.08388238553e-11,1.41552650739e-06,1.21822497082e-05,8.48382700257e-07,8.40204823445e-08,3.07096189948e-09,0.000165544191263,9.35836619442e-08,2.0017703232e-06,2.13385571925e-07,9.67616742523e-05
23,7.37297145614e-10,1.65514346644e-06,2.62256027377e-06,1.28775311638e-05,1.08815639892e-07,0.000160666882345,6.5742707464e-06,2.50403235481e-08,2.71329041869e-10,3.11751110797e-08,9.81203470659e-11,6.41832205806e-08,3.18237356544e-08,3.88166809813e-09,2.55398800727e-09,0.000384711357306,2.24074923815e-10,2.83103107371e-09,1.01040685125e-06,3.72704107644e-07,1.071640114e-05,6.89744992638e-08,1.5649171706e-07,1.01661712036e-06,1.78259291502e-06,2.31786300301e-07,3.03885121431e-07,4.73559432747e-08,0.9979744255,0.00122457164155,6.22665055855e-05,8.42169099618e-10,1.88602348459e-07,3.9367401523e-08,6.30610111223e-08,4.61963530261e-07,6.08416860535e-08,1.97829421207e-06,1.14702777517e-08,2.68665552667e-06,1.25196594752e-09,4.85048202375e-12,4.45817751511e-05,3.29827856187e-08,7.89702584449e-09,1.1189217771e-09,1.67672287828e-10,3.79302309413e-10,3.57088238632e-10,6.91777759646e-09,5.09134532592e-08,1.80161425862e-07,3.68444073494e-09,5.30528528452e-09,1.69981002084e-07,7.218871579e-05,4.68142700253e-07,7.43830741951e-08,7.72768002797e-11,6.78232788867e-09,2.90526752298e-07,5.61660972163e-07,1.75592891781e-07,4.37802031814e-08,2.17387710309e-10,4.17836905713e-07,1.79378576041e-06,5.31262552322e-08,1.11351077435e-08,3.99232867592e-06,5.63804121336e-06,2.10376505119e-07,1.40197817883e-07,8.927406322e-07,5.07699999633e-12,7.48919648423e-11,6.50751537025e-07,7.10187049577e-08,1.03629037485e-09,1.81314533595e-06,2.41662046403e-06,3.06630322624e-07,7.45868331932e-10,4.65705980238e-12,6.62752181084e-07,1.445359374e-09,3.14914538089e-09,6.50810494529e-06,2.14672237111e-09,1.12609691937e-08,6.81356180349e-08,2.0030991834e-08,1.28790023591e-08,6.39172224081e-09,7.97731772074e-11,6.87380659338e-11,8.99470065042e-08,6.46427805191e-10,3.50924027539e-06
24,5.82139431856e-07,2.81045881447e-08,3.06896790398e-09,5.33047807747e-10,1.81486762746e-09,7.77564170756e-07,2.07109770831e-09,4.47849262387e-11,2.09174431724e-06,2.3059504567e-09,9.74527847104e-09,9.21426896236e-13,3.04891657449e-11,6.57115989891e-11,3.4014550523e-11,4.33532095993e-09,1.08440180153e-07,1.65005766326e-10,7.48502423452e-12,4.07644932597e-09,5.3056791336e-08,1.93111781047e-10,5.71818454669e-14,4.25644459861e-11,1.44928746215e-13,3.14749474367e-10,3.50135706934e-07,8.43409642392e-10,9.22945281951e-14,1.64809396306e-12,1.8512459789e-14,7.08128137499e-07,1.65116870507e-07,2.17913832393e-08,1.97801107266e-09,6.52188926153e-11,1.51980392256e-08,6.14572572523e-10,2.44102663168e-09,1.83621593149e-06,5.07011477185e-12,1.09642024987e-09,1.50479536924e-09,3.60132706564e-11,1.27462225382e-09,1.03454372364e-08,4.9234412547e-13,2.32056967182e-11,4.95782253446e-14,2.1465332873e-10,1.09404208717e-10,4.4417843624e-08,4.26158860863e-13,3.71263501296e-14,8.39510663416e-10,8.24559445887e-10,2.22956213913e-12,8.99543980433e-12,4.71267689483e-09,4.96703855397e-07,4.63429627911e-09,5.35176900882e-11,2.05817445594e-11,2.20182210493e-10,4.2511238027e-11,2.49897897976e-10,6.3187768999e-11,3.31961140972e-14,2.38533304534e-10,3.33444741504e-07,3.88760130456e-12,9.97566178884e-13,6.24843421783e-08,3.24209253116e-13,7.74494883297e-10,1.03977265569e-10,3.19597021851e-11,6.19909403294e-09,2.68339724688e-08,7.05949674391e-09,6.92601309676e-11,2.93462318583e-12,1.94260483887e-10,9.37476101602e-09,0.999992202314,3.42242460282e-11,1.25606131622e-13,5.98626729082e-11,4.90579408914e-12,1.65712768732e-09,6.28744271816e-11,2.53714529664e-11,4.81988378638e-11,3.10785912493e-13,9.03785566504e-09,4.67337791315e-11,3.12751979047e-13,3.27422157349e-11,2.42800362213e-11
28,8.0322663718e-06,3.00209315374e-06,3.60527270922e-08,1.73293294868e-07,1.25946232684e-07,2.15588936201e-08,1.01014409585e-06,1.20977292255e-05,0.999935304691,7.16985151132e-08,1.41051788847e-06,1.43891521356e-06,4.30988691181e-06,8.0366679209e-08,2.35538612179e-06,3.05560544334e-07,1.03174354253e-06,3.28036241353e-07,1.33918356376e-08,9.0524991528e-07,1.14105964983e-07,1.01712434933e-10,3.97659569161e-10,2.05392319718e-11,8.18013183936e-11,1.22201282847e-09,1.33297879869e-07,1.38213408966e-10,3.87722380528e-11,1.37148311345e-12,3.07301391856e-11,2.55996224042e-09,8.00845877692e-07,1.71835510256e-06,1.44999277596e-10,8.53621870561e-08,1.05723946853e-09,2.20097181675e-10,1.48254881596e-10,3.81456926732e-09,6.69168012412e-11,3.11983339533e-08,1.6990664018e-09,1.24616234182e-10,6.15716877619e-08,1.20272754122e-09,1.74813719354e-10,2.94756721078e-09,1.25753361356e-07,4.93100925063e-08,8.2035065362e-10,6.30665338639e-12,8.07012638072e-09,2.09133531293e-08,5.91143757861e-08,2.30141582505e-08,5.27277268293e-10,7.76977469048e-11,6.94023649493e-10,9.00697315563e-09,3.1405567218e-08,1.28792907381e-10,7.20121863888e-09,3.68116464597e-09,2.05850192525e-09,2.08910631129e-08,5.59691592362e-10,1.18399455651e-11,2.05526176263e-09,2.72843849517e-08,2.05136885934e-10,7.47454884061e-10,6.64856157634e-10,6.74226442694e-09,1.34945868309e-08,6.60164070237e-09,3.59298997019e-11,3.38768065173e-09,9.97267304687e-08,9.25847988033e-09,8.92541363666e-09,3.3518918485e-11,2.04968480171e-09,1.34979732321e-07,1.70699413182e-06,6.88370147292e-08,5.85742111278e-08,6.96872370681e-10,4.14835862589e-11,7.63829962943e-07,1.11887145196e-08,5.04803557038e-07,1.79286023858e-08,2.37741471163e-07,2.05895441194e-05,2.8626572496e-07,1.29107619067e-12,2.9156634231e-10,5.83637251421e-08
